,names,positions,twitters,fbs,bios,curs,tracked_mods
10,池上正樹,心と街を追うジャーナリスト,chakichakiike,NaN,通信社などの勤務を経てジャーナリスト。日本文藝家協会会員。KHJ全国ひきこもり家族会連合会広報担当理事。20年以上にわたって、ひきこもり関係の取材を続ける。最新刊『ルポ「８０５０問題」高齢親子〝ひきこもり死〟の現場から』（河出新書）、他に『ルポ　ひきこもり未満』『大人のひきこもり』『ふたたび、ここから～東日本大震災・石巻の人たちの50日間』』『あのとき、大川小学校で何が起きたのか』など著書多数。ダイヤモンド・オンラインで『「引きこもり」するオトナたち』を連載中。対話の場「ひきこもりフューチャーセッション庵-IORI-」設立メンバー。テレビやラジオにも多数出演。全国各地の行政機関などで講演、,56,3
11,石井志昂,『不登校新聞』編集長、不登校経験者,NaN,ishii.shiko,1982年東京都生まれ。中学校受験を機に学校生活が徐々にあわなくなり、教員、校則、いじめなどにより、中学2年生から不登校。同年、フリースクール「東京シューレ」へ入会。19歳からは創刊号から関わってきた『不登校新聞』のスタッフ。2006年から『不登校新聞』編集長。これまで、不登校の子どもや若者、親など300名以上に取材を行なってきた。また、女優・樹木希林氏や社会学者・小熊英二氏など幅広いジャンルの識者に不登校をテーマに取材を重ねてきた。編著書に『学校に行かない君へ』（ポプラ社）など。,54,3
12,石川慶子,危機管理/広報コンサルタント,ishikawakeiko,NaN,東京都生まれ。東京女子大学卒。国会職員として勤務後、劇場映画やテレビ番組の制作を経て広報ＰＲ会社へ。二人目の出産を機に2001年独立し、危機管理に強い広報プロフェッショナルとして活動開始。リーダー対象にリスクマネジメントの観点から戦略的かつ実践的なメディアトレーニングプログラムを提供。リスクマネジメントをテーマにした研究にも取り組み定期的に学会発表も行っている。2015年、外見リスクマネジメントを提唱。有限会社シン取締役社長。日本リスクマネジャー＆コンサルタント協会副理事長、公共コミュニケーション学会理事。,45,1
13,石戸諭,記者 / ノンフィクションライター,satoruishido,NaN,1984年、東京都生まれ。2006年に立命館大学法学部を卒業し、同年に毎日新聞社に入社。岡山支局、大阪社会部。デジタル報道センターを経て、2016年1月にBuzzFeed Japanに移籍。2018年4月に独立し、フリーランスの記者、ノンフィクションライターとして活躍している。2011年3月11日からの歴史を生きる「個人」を記した著書『リスクと生きる、死者と生きる』（亜紀書房）を出版する。デビュー作でありながら読売新聞「2017年の3冊」に選出されるなど各メディアで高い評価を得る。,53,1
14,石渡嶺司,大学ジャーナリスト,ishiwatarireiji,reiji.ishiwatari,１９７５年札幌生まれ。北嶺高校、東洋大学社会学部卒業。編集プロダクションなどを経て２００３年から現職。扱うテーマは大学を含む教育、ならびに就職・キャリアなど。2018年は肩書によるものか、バイキング、ひるおびなどテレビ出演が急増。ボランティアベースで就活生のエントリーシート添削も実施中。主な著書に『大学の学部図鑑』（ソフトバンククリエイティブ）『キレイゴトぬきの就活論』（新潮新書）『女子学生はなぜ就活に騙されるのか』（朝日新書）など累計30冊・62万部。2021年1月に『就活のワナ』（講談社プラスアルファ新書）を刊行。,604,491
15,一井暁子,一般社団法人つながる地域づくり研究所　代表理事,ICHIIAkiko,akiko.ichii,1970年生まれ。東京大学法学部中退。地中美術館（香川県直島）、岡山県議会議員などを経て、2013年、ローカル・シンクタンク「一般社団法人つながる地域づくり研究所」（岡山県岡山市）を設立。自治体と民間と住民をつなぎ、共に地域課題の解決に取り組む。「官民連携まちづくり推進協議会」など、共通するテーマに取り組む自治体の事務局も担っている。2020年２月には、全世代・全員活躍型「生涯活躍のまち」の全国的な中間支援組織「一般社団法人まちづくりパートナーズ」を設立。,11,0
16,市川衛,医療の「翻訳家」,mam1kawa,mamoruichikawa,（いちかわ・まもる）医療の「翻訳家」／READYFOR(株)室長／（社）メディカルジャーナリズム勉強会代表／広島大学医学部客員准教授。00年東京大学医学部卒業後、ＮＨＫ入局。医療・福祉・健康分野をメインに世界各地で取材を行う。16年スタンフォード大学客員研究員。19年Yahoo!ニュース個人オーサーアワード特別賞。21年よりREADYFOR(株)室長として新型コロナ対策などに関わる。主な作品としてNHKスペシャル「睡眠負債が危ない」「医療ビッグデータ」（テレビ番組）、「教養としての健康情報」（書籍）など。※個人の発信であり、いかなる組織の意見も代表するものではありません,114,151
17,井出留美,食品ロス問題ジャーナリスト・博士（栄養学）,rumiide,rumiide,奈良女子大学食物学科卒、博士（栄養学/女子栄養大学大学院）、修士（農学/東京大学大学院農学生命科学研究科）。ライオン、青年海外協力隊を経て日本ケロッグ広報室長等歴任。3.11食料支援で廃棄に衝撃を受け誕生日を冠した（株）office3.11設立。食品ロス削減推進法成立に協力した。Champions12.3メンバー。著書に『食料危機』『あるものでまかなう生活』『賞味期限のウソ』『捨てられる食べものたち』他。食品ロスを全国的に注目されるレベルまで引き上げたとして第二回食生活ジャーナリスト大賞食文化部門/Yahoo!ニュース個人オーサーアワード2018/第一回食品ロス削減推進大賞消費者庁長官賞受賞。,564,168
18,伊藤和子,弁護士、国際人権NGOヒューマンライツ・ナウ事務局長,KazukoIto_Law,ito.kazuko,1994年に弁護士登録。女性、子どもの権利、えん罪事件など、人権問題に関わって活動。米国留学後の2006年、国境を越えて世界の人権問題に取り組む日本発の国際人権NGO・ヒューマンライツ・ナウを立ち上げ、事務局長として国内外で現在進行形の人権侵害の解決を求めて活動中。同時に、弁護士として、女性をはじめ、権利の実現を求める市民の法的問題の解決のために日々活動している。ミモザの森法律事務所(東京)代表。,174,89
19,伊藤伸,構想日本総括ディレクター／元内閣府参事官,Ito53Shin,shin.ito.9235,1978年北海道生まれ。同志社大学法学部卒。衆議院議員秘書、参議院議員秘書を経て、05年4月より構想日本政策スタッフ。08年7月より政策担当ディレクター。09年10月、内閣府行政刷新会議事務局参事官（任期付の常勤国家公務員）。行政刷新会議事務局のとりまとめや行政改革全般、事業仕分けのコーディネーター等を担当。13年2月、内閣府を退職し構想日本に帰任（総括ディレクター）。13年9月より法政大学法学部非常勤講師兼務。,48,60
20,井上久男,経済ジャーナリスト,NaN,NaN,１９６４年生まれ。８８年九州大卒。朝日新聞社の名古屋、東京、大阪の経済部で主に自動車と電機を担当。２００４年朝日新聞社を選択定年。０５年大阪市立大学修士課程（ベンチャー論）修了。主な著書は『トヨタ愚直なる人づくり』（ダイヤモンド社）、『トヨタ・ショック』（講談社、共編著）、『メイドインジャパン驕りの代償』（ＮＨＫ出版）、『会社に頼らないで一生働き続ける技術』（プレジデント社）、『自動車会社が消える日』（文春新書）。近著にカルロス・ゴーン氏の功罪を振り返りながら今回の事件の背景と本質に迫った企業ノンフィクション『日産vs.ゴーン　支配と暗闘の２０年』（文春新書）。,66,81
21,猪瀬聖,ジャーナリスト,NaN,NaN,慶應義塾大学卒。米コロンビア大学大学院（ジャーナリズムスクール）修士課程修了。日本経済新聞生活情報部記者、同ロサンゼルス支局長などを経て、独立。食の安全、働き方、マイノリティ、米国の社会問題を中心に幅広く取材。著書に『アメリカ人はなぜ肥るのか』（日経プレミアシリーズ、韓国語版も出版）、『仕事ができる人はなぜワインにはまるのか』（幻冬舎新書）など。,165,75
22,今井悠介,公益社団法人チャンス・フォー・チルドレン 代表理事,imaiyusuke_cfc,NaN,1986年神戸市出身。小学生のときに阪神・淡路大震災を経験。大学在学中、学生ボランティアとして子どもの自然体験活動や不登校の子どもの支援に携わり、卒業後はKUMONにて子どもの学習支援に従事。その後東日本大震災を契機に、チャンス・フォー・チルドレン（CFC）を設立し代表理事に就任。東北被災3県を中心に、経済的困難を抱える子どもにスタディクーポンを提供する事業を開始し、これまで累計14都府県で展開。全国子どもの貧困教育支援団体協議会設立時幹事、子どもの貧困対策センター・公益財団法人あすのば アドバイザー。共著に「東日本大震災被災地・子ども教育白書」。,1,0
23,今村久美,認定NPO法人カタリバ代表理事,katariba,katariba,79年生まれ。慶應義塾大学卒。2001年にNPOカタリバを設立し、高校生のためのキャリア学習プログラム「カタリ場」を開始。2011年の東日本大震災以降は子どもたちに学びの場と居場所を提供するなど、社会の変化に応じてさまざまな教育活動に取り組む。「ナナメの関係」と「本音の対話」を軸に、思春期世代の「学びの意欲」を引き出し、大学生など若者の参画機会の創出に力を入れる。ハタチ基金 代表理事。地域・教育魅力化プラットフォーム理事。中央教育審議会 委員。東京オリンピック・パラリンピック競技大会組織委員会 文化・教育委員会委員。,17,0
24,上山信一,慶應大学総合政策学部教授、改革参謀,ShinichiUeyama,NaN,専門は企業戦略＆組織改革。1957年大阪市生まれ。京大法卒業後、旧運輸省を経て米プリンストン大学院修士卒。1986年からマッキンゼー（パートナー）、米ジョージタウン大学研究教授を経て07年から現職。ほかに企業の取締役・監査役・顧問を兼務。またビジネスモデル学会・行政学会・公共政策学会の理事や大阪府市・愛知県・東京都の顧問等を歴任。著書に『改革力』『変革のマネジメント』等。世界117か国を旅した。DMMオンラインサロン「街の未来、日本の未来」主宰　https://lounge.dmm.com/detail/1745/,35,0
25,鵜飼秀徳,ジャーナリスト、正覚寺住職、(一社)良いお寺研究会代表理事,NaN,NaN,1974年、京都市生まれ。成城大卒。新聞・雑誌記者を経て、2018年に独立。正覚寺（京都市右京区）第33世住職。ジャーナリスト兼僧侶の立場で「宗教と社会」をテーマに取材、執筆、講演などを続ける。近年は企業と協働し、「寺院再生を通じた地方創生」にも携わっている。著書に『寺院消滅』（日経BP）、『仏教抹殺』（文春新書）、『ビジネスに活かす教養としての仏教』（PHP研究所）など多数。最新刊に『お寺の日本地図　名刹古刹でめぐる47都道府県』（文春新書）。一般社団法人「良いお寺研究会」代表理事、東京農業大学・佛教大学非常勤講師、公益財団法人全日本仏教会広報委員（有識者）など。,4,3
26,牛山素行,静岡大学防災総合センター教授,disaster_i,NaN,長野県生まれ．信州大学農学部卒業．東京都立大学地理学教室客員研究員，京都大学防災研究所助手，東北大学災害制御研究センター講師，岩手県立大学総合政策学部准教授，静岡大学防災総合センター准教授などを経て，2013年より現職．博士(農学)，博士(工学)．専門は災害情報学．風水害、特に豪雨災害を中心に，人的被害の発生状況，災害情報の利活用，避難行動などの調査研究に取り組む．内閣府「避難勧告等の判断・伝達マニュアル作成ガイドライン検討会」委員など，内閣府，国土交通省，気象庁，総務省消防庁，地方自治体の各種委員を歴任．著作に「豪雨の災害情報学」など．,11,0
27,碓井真史,新潟青陵大学大学院 臨床心理学研究科 教授（社会心理学）,usuimafumi,mafumi.usui,1959年東京墨田区下町生まれ。幼稚園中退。日本大学大学院文学研究科博士後期課程修了。博士（心理学）。精神科救急受付等を経て、新潟青陵大学大学院臨床心理学研究科教授。新潟市スクールカウンセラー。好物はもんじゃ。専門は社会心理学。テレビ出演：「視点論点」「あさイチ」「とくダネ！」「サンデーモーニング」「ミヤネ屋」「NEWS ZERO」「ホンマでっか！？TV」「チコちゃんに叱られる！」など。著書：『あなたが死んだら私は悲しい：心理学者からのいのちのメッセージ』『誰でもいいから殺したかった：追い詰められた青少年の心理』『ふつうの家庭から生まれる犯罪者』等。監修：『よくわかる人間関係の心理学』等。,NaN,1281
28,碓井広義,メディア文化評論家,NaN,NaN,1955年長野県生まれ。慶應義塾大学法学部政治学科卒業。千葉商科大学大学院政策研究科博士課程修了。博士（政策研究）。1981年テレビマンユニオンに参加。以後20年間、ドキュメンタリーやドラマの制作を行う。代表作に「人間ドキュメント 夏目雅子物語」など。慶大助教授などを経て、2020年まで上智大学文学部新聞学科教授（メディア文化論）。著書「少しぐらいの嘘は大目に―向田邦子の言葉」（新潮社）、「倉本聰の言葉―ドラマの中の名言」（同）、「ドラマへの遺言」（同）ほか。毎日新聞、北海道新聞、日刊ゲンダイ等で放送時評やコラム、週刊新潮で書評の連載中。文化庁「芸術選奨」選考審査員（18年度～20年度）。,379,0
29,内田良,名古屋大学大学院教育発達科学研究科・准教授,RyoUchida_RIRIS,ryo.uchida.167,学校リスク（スポーツ事故、組み体操事故、転落事故、「体罰」、自殺、2分の1成人式、教員の部活動負担・長時間労働など）の事例やデータを収集し、隠れた実態を明らかにすべく、研究をおこなっています。また啓発活動として、教員研修等の場において直接に情報を提供しています。専門は教育社会学。博士（教育学）。ヤフーオーサーアワード2015受賞。消費者庁消費者安全調査委員会専門委員。著書に『ブラック部活動』（東洋館出版社）、『教育という病』（光文社新書）、『柔道事故』（河出書房新社）など。■依頼等のご連絡はこちら：dada(at)dadala.net,171,189
30,海原純子,博士（医学）・心療内科医・日本医科大学特任教授,NaN,NaN,東京慈恵会医科大学卒業。同大講師を経て、1986年東京で日本初の女性クリニックを開設。2007年厚生労働省健康大使（～2017年）。2008-2010年、ハーバード大学大学院ヘルスコミュニケーション研究室客員研究員。2013年より日本医科大学医学教育センター特任教授。2018年昭和女子大学特命教授。復興庁心の健康サポート事業統括責任者（～2014年）。被災地調査論文で2016年日本ストレス学会賞受賞。日本生活習慣病予防協会理事。日本ポジティブサイコロジー医学会理事。医学生時代父親の病気のため歌手活動で生活費を捻出しテレビドラマの主題歌など歌う。医師となり中止していたジャズライブを近年再開。,82,8
31,梅原淳,鉄道ジャーナリスト,NaN,NaN,1965(昭和40)年生まれ。大学卒業後、三井銀行(現在の三井住友銀行)に入行し、交友社月刊「鉄道ファン」編集部などを経て2000年に鉄道ジャーナリストとして活動を開始する。『新幹線を運行する技術』(SBクリエイティブ)、『JRは生き残れるのか』(洋泉社)、『電車たちの「第二の人生」』(交通新聞社)をはじめ著書多数。また、雑誌やWEB媒体への寄稿のほか、講義・講演やテレビ・ラジオ・新聞等での解説、コメントも行っており、NHKラジオ第1の「子ども科学電話相談」では鉄道部門の回答者も務める。,27,26
32,江川紹子,ジャーナリスト・神奈川大学特任教授,amneris84,shokoeg,神奈川新聞記者を経てフリーランス。司法、政治、災害、教育、カルト、音楽など関心分野は様々です。2020年4月から神奈川大学国際日本学部の特任教授を務め、カルト問題やメディア論を教えています。,237,36
33,江口晋太朗,編集者/プロデューサー、TOKYObeta 代表,eshintaro,shintaro.eguchi,編集デザインファームTOKYObeta 代表として、「都市と生活の再編集」をテーマに誰がもその人らしい暮らしができるまちとなるための都市開発、地域再生、コンセプト設計や企画プロデュースなどを行いながら、より良い社会づくりのための仕組みを提案している。 著書『実践から学ぶ地方創生と地域金融』（学芸出版社）『孤立する都市、つながる街』（日本経済新聞社）『日本のシビックエコノミー』（フィルムアート社）『ICTことば辞典』（三省堂）他。,10,0
34,江守正多,国立環境研究所 地球システム領域 副領域長,NaN,NaN,1970年神奈川県生まれ。1997年に東京大学大学院 総合文化研究科 博士課程にて博士号（学術）を取得後、国立環境研究所に勤務。2021年より地球システム領域 副領域長。社会対話・協働推進室長（Twitter @taiwa_kankyo）。東京大学 総合文化研究科 客員教授。専門は気候科学。IPCC（気候変動に関する政府間パネル）第5次および第6次評価報告書 主執筆者。著書に「異常気象と人類の選択」「地球温暖化の予測は『正しい』か？」、共著書に「地球温暖化はどれくらい『怖い』か？」「温暖化論のホンネ」等。記事やコメントは個人の見解であり、所属組織を代表するものではありません。,50,31
35,遠藤司,株式会社リグリットパートナーズ執行役員、皇學館大学非常勤講師,NaN,tsukasa.endo,1981年、山梨県生まれ。MITテクノロジーレビューのアンバサダー歴任。富士ゼロックス、ガートナー、皇学館大学准教授を経て、現職。その間、複数回に渡り政府機関等に政策提言を実施。企業や団体への経営支援、新規事業立ち上げにも参画。専門は経営思想、事業創造。著書に『正統のドラッカー イノベーションと保守主義』『正統のドラッカー 古来の自由とマネジメント』『創造力はこうやって鍛える』『ビビリ改善ハンドブック』『「日本的経営」の誤解』など。同志社大学大学院法学研究科博士前期課程修了。,158,0
36,太田垣章子,賃貸トラブルの専門家 司法書士　太田垣章子,ayako_ohtagaki,ayako.ohtagaki.7,OAG司法書士法人代表。神戸海星女子学院卒業後、プロ野球オリックス・ブルーウェーブ球団広報として3年半勤務したのち、結婚・離婚、シングルマザーとして子育てしながら平成13年司法書士試験に合格。平成14年から家主側の訴訟代理人で、延べ2500件以上悪質賃借人の明渡手続を受託してきた賃貸トラブル解決のパイオニア的存在。常に現場へ足を運び、訴訟と並行して悪質賃借人と向き合う。徹底した現場主義から、多くの信頼を得る。実務以外にも執筆や講演活動も行う。著書『賃貸トラブルを防ぐ・解決する安心ガイド』（日本実業出版社）、『家賃滞納という貧困』『老後に住める家がない！』『不動産大異変』（以上3冊ポプラ社）,3,0
37,大竹敏之,名古屋ネタライター,bakaruto,NaN,名古屋在住のフリーライター。名古屋メシと中日ドラゴンズをこよなく愛する。最新刊は『名古屋の酒場』。2017年発行の『なごやじまん』は、当サイトに寄稿した「なぜ週刊ポスト『名古屋ぎらい』特集は組まれたのか？」をきっかけに書籍化したもの。著書は他に『名古屋めし』『名古屋の喫茶店　完全版』『名古屋の居酒屋』『名古屋メン』『名古屋の商店街』『東海の和菓子名店』等がある。コンクリート造型師、浅野祥雲の研究をライフワークとし、“日本唯一の浅野祥雲研究家”を自称。作品の修復活動も主宰する。『コンクリート魂　浅野祥雲大全』はその研究の集大成的1冊。,115,0
38,おおたとしまさ,育児・教育ジャーナリスト,toshimasaota,otatoshi,1973年東京生まれ。麻布中学・高校卒業。東京外国語大学英米語学科中退。上智大学英語学科卒業。リクルートから独立後、数々の育児・教育誌のデスクや監修を歴任。男性の育児、夫婦関係、学校や塾の現状などに関し、各種メディアへの寄稿、コメント掲載、出演多数。中高教員免許をもつほか、小学校での教員経験、心理カウンセラーとしての活動経験あり。著書は『ルポ塾歴社会』『名門校とは何か？』『ルポ教育虐待』『受験と進学の新常識』『中学受験「必笑法」』『ルポ父親たちの葛藤』『＜喧嘩とセックス＞夫婦のお作法』など60冊以上。,79,20
39,大谷亮,心理学博士・主幹総合交通心理士,NaN,NaN,心理学の観点から、交通事故防止に関する研究に従事。特に、交通社会における子どもの発達や、交通参加者（ドライバーや歩行者など）に対する安全教育プログラムの開発と評価に関する研究が専門。最近では、道路上の保護者の監視や見守りを対象にした研究に勤しんでいる。共著に「子どものための交通安全教育入門：心理学からのアプローチ」等がある。小さい頃からの愛読書は、「星の王子様」。,6,2
40,大塚玲子,ライター、編集者、ジャーナリスト,NaN,NaN,主なテーマは「保護者と学校の関係（PTA等）」と「いろんな形の家族」。各々の必要に応じた、おおらかなつながりを追求する。著書は『ルポ 定形外家族』（SB新書）、『PTAをけっこうラクにたのしくする本』『オトナ婚です、わたしたち』『PTAがやっぱりコワイ人のための本』（3冊とも太郎次郎社エディタス）。共著は『子どもの人権をまもるために』（晶文社）、『ブラック校則』（東洋館出版社）など。連載は、東洋経済オンラインで「おとなたちには、わからない。」、「月刊 教職研修」で「学校と保護者のこれからを探す旅」を執筆中。ひとり親。定形外かぞく（家族のダイバーシティ）代表。ご連絡先：ohj@ニフティドットコム,146,5
41,大津秀一,緩和ケア医師,shuichiotsu,soukikanwa,岐阜大学医学部卒業。緩和医療専門医。日本初の早期緩和ケア外来専業クリニック院長。早期からの緩和ケア全国相談『どこでも緩和』運営。2006年わかりやすい医療情報が皆の幸せになると執筆開始、著書累計65万部（『死ぬときに後悔すること25』他）。2003年緩和ケアを開始し2005年日本最年少の緩和ケア医となる。2006年笹川医学医療研究財団ホスピス緩和ケアドクター養成コース修了。ホスピス医、在宅医を経て2010年から東邦大学大森病院緩和ケアセンターに所属し緩和ケアセンター長を務め、2018年より現職。内科専門医、老年病専門医、消化器病専門医。現役医師YouTuber「かんわいんちょー」としても活動。,28,28
42,大西連,認定NPO法人自立生活サポートセンター・もやい 理事長,ohnishiren,ohnishiren,1987年東京生まれ。認定NPO法人自立生活サポートセンター・もやい理事長。新宿での炊き出し・夜回りなどのホームレス支援活動から始まり、主に生活困窮された方への相談支援に携わっています。また、生活保護や社会保障削減などの問題について、現場からの声を発信したり、政策提言しています。主著に『すぐそばにある貧困」』（2015年ポプラ社）。,55,1
43,大野和興,ジャーナリスト（農業・食料問題）、日刊ベリタ編集長,beritapress,kazuoki.ohno,１９４０年、愛媛県生まれ。四国山地のまっただ中で育ち、村歩きを仕事として日本とアジアの村を歩く。村の視座からの発信を心掛けてきた。著書に『農と食の政治経済学』（緑風出版）、『百姓の義ームラを守る・ムラを超える』（社会評論社）、『日本の農業を考える』（岩波書店）、『食大乱の時代』(七つ森書館)、『百姓が時代を創る』（七つ森書館）ほか多数。独立系ニュースサイト日刊ベリタ編集長、国際有機農業映画祭運営委員会。,69,0
44,大濱崎卓真,選挙コンサルタント・政治アナリスト,oohamazaki,NaN,1988年生まれ。青山学院高等部卒業、青山学院大学経営学部中退。2010年に選挙コンサルティングのジャッグジャパン株式会社を設立、現在代表取締役。不偏不党の選挙コンサルタントとして衆参国政選挙や首長・地方議会議員選挙をはじめ、日本全国の選挙に政党党派問わず関わるほか、政治活動を支援するクラウド型名簿地図アプリサービスの提供や、「選挙を科学する」をテーマとした研究・講演・寄稿等を行う。『都道府県別新型コロナウイルス感染者数マップ』で2020年度地理情報システム学会賞（実践部門）受賞。,34,199
45,大宮冬洋,フリーライター,toyo78266368,NaN,僕は1976年生まれ。40代です。燦然と輝く「中年の星」にはなれなくても、年齢を重ねてずる賢くなっただけの「中年の屑」と化すことは避けたいな。自分も周囲も一緒にキラリと光り、人に喜んでもらえる生き方を模索するべきですよね。世間という広大な夜空を彩る「中年の星屑たち」になるためのニュースコラムを発信します。著書は『人は死ぬまで結婚できる』（講談社＋α新書）など。連載「晩婚さんいらっしゃい！」により東洋経済オンラインアワード2019「ロングランヒット賞」を受賞。コラムやイベント情報が読める無料メルマガ配信ご希望の方は僕のホームページをご覧ください。（「ポスト中年の主張」から2017年3月に改題）,441,0
46,岡田有花,フリーランス記者,yukatan,NaN,1978年生まれ。京都大学卒。IT系ニュースサイト記者、Webベンチャーを経て、IT・Web分野を軸に幅広く取材、執筆するフリーランス記者。著書に「ネットで人生、変わりましたか」（ソフトバンククリエイティブ）。,151,6
